win_lose,wall_bounce,score,paddle_pos,x,y
0, 1, 0, 180, 284, 2
0, 1, 0, 210, 471, 36
0, 0, 0, 420, 391, 476
1, 1, 1, 330, 6, 406
1, 1, 1, 210, 78, 10
1, 1, 1, 30, 474, 82
1, 0, 1, 120, 402, 478
2, 1, 1, 90, 6, 88
2, 1, 1, 300, 60, 7
2, 1, 1, 90, 474, 283
2, 0, 1, 390, 348, 472
3, 1, 1, 360, 328, 2
3, 1, 1, 240, 471, 54
3, 0, 1, 60, 319, 472
4, 1, 1, 180, 9, 160
4, 1, 1, 270, 65, 6
4, 1, 1, 420, 472, 154
4, 0, 1, 420, 356, 473
5, 1, 1, 240, 471, 160
5, 1, 1, 270, 415, 6
5, 1, 1, 60, 8, 154
5, 0, 1, 120, 124, 473
6, 1, 2, 180, 476, 345
6, 1, 2, 180, 352, 4
6, 1, 2, 180, 11, 128
6, 0, 2, 210, 135, 469
7, 1, 2, 180, 6, 62
7, 1, 2, 330, 48, 8
7, 1, 2, 30, 471, 337
7, 0, 2, 420, 366, 472
8, 1, 2, 390, 58, 10
8, 1, 2, 360, 4, 52
8, 0, 2, 180, 333, 475
9, 1, 2, 60, 10, 129
9, 1, 2, 390, 70, 9
9, 1, 2, 150, 480, 214
9, 0, 2, 330, 350, 474
10, 1, 3, 450, 10, 304
10, 1, 3, 420, 160, 4
10, 1, 3, 360, 480, 164
10, 0, 3, 390, 325, 474
11, 1, 3, 360, 306, 2
11, 1, 3, 210, 471, 47
11, 0, 3, 90, 354, 476
12, 1, 3, 60, 96, 4
12, 1, 3, 210, 6, 58
12, 0, 3, 360, 258, 478
13, 1, 3, 390, 196, 2
13, 1, 3, 180, 9, 36
13, 0, 3, 150, 89, 476
14, 1, 3, 90, 471, 181
14, 1, 3, 390, 423, 5
14, 1, 3, 300, 5, 119
14, 0, 3, 300, 101, 471
15, 1, 3, 240, 8, 12
15, 1, 3, 300, 474, 62
15, 1, 3, 150, 432, 8
15, 1, 3, 450, 9, 337
15, 0, 3, 60, 114, 472
16, 1, 3, 150, 120, 4
16, 1, 3, 180, 10, 59
16, 0, 3, 390, 215, 469
17, 1, 3, 360, 196, 2
17, 1, 3, 210, 9, 36
17, 0, 3, 120, 89, 476
18, 1, 3, 30, 120, 4
18, 1, 3, 300, 10, 59
18, 0, 3, 270, 215, 469
19, 1, 3, 390, 10, 129
19, 1, 3, 60, 70, 9
19, 1, 3, 360, 480, 214
19, 0, 3, 180, 350, 474
20, 1, 3, 60, 10, 129
20, 1, 3, 390, 70, 9
20, 1, 3, 150, 480, 214
20, 0, 3, 330, 350, 474
21, 1, 4, 450, 10, 304
21, 1, 4, 420, 160, 4
21, 1, 4, 360, 480, 164
21, 0, 4, 390, 325, 474
22, 1, 4, 330, 9, 160
22, 1, 4, 180, 65, 6
22, 1, 4, 90, 472, 154
22, 0, 4, 30, 356, 473
23, 1, 4, 210, 9, 202
23, 1, 4, 330, 45, 4
23, 1, 4, 390, 474, 82
23, 0, 4, 300, 402, 478
24, 1, 4, 420, 471, 181
24, 1, 4, 60, 423, 5
24, 1, 4, 210, 5, 119
24, 0, 4, 210, 101, 471
25, 1, 4, 120, 480, 124
25, 1, 4, 390, 420, 4
25, 1, 4, 180, 10, 209
25, 0, 4, 300, 140, 469
26, 1, 4, 390, 120, 4
26, 1, 4, 120, 10, 59
26, 0, 4, 270, 215, 469
27, 1, 4, 330, 8, 12
27, 1, 4, 120, 471, 160
27, 1, 4, 390, 415, 6
27, 1, 4, 180, 8, 154
27, 0, 4, 240, 124, 473
28, 1, 4, 270, 6, 62
28, 1, 4, 120, 48, 8
28, 1, 4, 420, 471, 337
28, 0, 4, 30, 366, 472
29, 1, 4, 60, 474, 62
29, 1, 4, 150, 432, 8
29, 1, 4, 210, 9, 337
29, 0, 4, 240, 114, 472
30, 1, 4, 90, 152, 2
30, 1, 4, 390, 9, 54
30, 0, 4, 270, 161, 472
31, 1, 4, 420, 284, 2
31, 1, 4, 90, 471, 36
31, 0, 4, 240, 391, 476
32, 1, 4, 210, 58, 10
32, 1, 4, 360, 4, 52
32, 0, 4, 60, 333, 475
33, 1, 4, 150, 384, 4
33, 1, 4, 120, 474, 58
33, 0, 4, 450, 222, 478
34, 1, 4, 420, 474, 62
34, 1, 4, 330, 432, 8
34, 1, 4, 270, 9, 337
34, 0, 4, 240, 114, 472
